signal,top_bottom_spread_pct,spearman,positive_fold_ratio
sma200_slope(200日線傾き),0.405,0.952,0.5
現行スコア(score),0.347,0.915,0.643
dist_sma200(200日線乖離),0.266,0.794,0.643
pos_52w(52週高値位置),0.256,0.479,0.714
ret_120d(120日リターン),0.234,0.673,0.643
log_avg_val(流動性),0.138,0.576,0.5
ret_60d(60日リターン),0.099,0.745,0.429
atr_pct(ボラティリティ),0.072,0.018,0.571
ret_20d(20日リターン),-0.117,0.091,0.143
val_ratio_5d(出来高増加率),-0.136,0.018,0.214
gc_recent(GC直後),-0.164,0.006,0.214
dist_sma25(25日線乖離),-0.166,-0.127,0.214
weekly_trend(週足上昇),-0.194,0.224,0.214
